start_date,end_date,vendor_code,vendor_name,invoice date,invoice#,customer,part_code,product_name,vintage,qty,sell_price,sold for,invoice_count,cases_sold,da_amount,da_total,date_active,expiration,da_hit,active
2025-06-01,2025-06-30,274,VNDR_QHLJ4I,2025-06-11,216317,Acc_963f21,92569.0,Prod_34817827,,6.0,9999.0,22.52,1.0,1.0,9.0,9.0,2024-09-01,2029-12-31,true,true
2025-06-01,2025-06-30,274,VNDR_QHLJ4I,2025-06-17,216422,Acc_d50ce1,92569.0,Prod_34817827,,6.0,9999.0,22.2,1.0,1.0,9.0,9.0,2024-09-01,2029-12-31,true,true
2025-06-01,2025-06-30,9,VNDR_93N529,2025-06-02,216090,Acc_32b47e,92798.0,Prod_42138237,,12.0,11.49,11.29,1.0,1.0,6.0,6.0,2025-05-12,2029-12-31,true,true
2025-06-01,2025-06-30,9,VNDR_93N529,2025-06-02,216101,Acc_441bac,92798.0,Prod_42138237,,12.0,11.49,10.89,1.0,1.0,6.0,6.0,2025-05-12,2029-12-31,true,true
2025-06-01,2025-06-30,9,VNDR_93N529,2025-06-02,216102,Acc_dcab33,92798.0,Prod_42138237,,12.0,11.49,12.89,1.0,1.0,6.0,6.0,2025-05-12,2029-12-31,false,true
2025-06-01,2025-06-30,9,VNDR_93N529,2025-06-05,216218,Acc_661352,92798.0,Prod_42138237,,36.0,11.49,11.45,1.0,3.0,6.0,18.0,2025-05-12,2029-12-31,true,true
2025-06-01,2025-06-30,9,VNDR_93N529,2025-06-10,216288,Acc_f77c78,92798.0,Prod_42138237,,12.0,11.49,11.46,1.0,1.0,6.0,6.0,2025-05-12,2029-12-31,true,true
2025-06-01,2025-06-30,9,VNDR_93N529,2025-06-10,216293,Acc_0331fe,92798.0,Prod_42138237,,12.0,11.49,11.67,1.0,1.0,6.0,6.0,2025-05-12,2029-12-31,false,true
2025-06-01,2025-06-30,9,VNDR_93N529,2025-06-11,216304,Acc_8b08ae,92798.0,Prod_42138237,,12.0,11.49,11.61,1.0,1.0,6.0,6.0,2025-05-12,2029-12-31,false,true
2025-06-01,2025-06-30,9,VNDR_93N529,2025-06-11,216318,Acc_8a2103,92798.0,Prod_42138237,,12.0,11.49,11.7,1.0,1.0,6.0,6.0,2025-05-12,2029-12-31,false,true
2025-06-01,2025-06-30,9,VNDR_93N529,2025-06-12,216378,Acc_e80b64,92798.0,Prod_42138237,,12.0,11.49,10.82,1.0,1.0,6.0,6.0,2025-05-12,2029-12-31,true,true
2025-06-01,2025-06-30,9,VNDR_93N529,2025-06-16,216411,Acc_dcab33,92798.0,Prod_42138237,,12.0,11.49,13.11,1.0,1.0,6.0,6.0,2025-05-12,2029-12-31,false,true
2025-06-01,2025-06-30,9,VNDR_93N529,2025-06-16,216440,Acc_4cfbbf,92798.0,Prod_42138237,,12.0,11.49,11.47,1.0,1.0,6.0,6.0,2025-05-12,2029-12-31,true,true
