part_code	product_name	description	category_name	sub_category_name	location	total_onhand	cost	weighted_cost	price	vendor_code	vendor_name	date_last_sold	discontinued	date_created
31869	Prod_73283640		Spanish Whites	Spanish White Small 3.0L	B1.2	0.0	9.16	9.833	18.3	170.0	VNDR_NGKU0P	06/02/14	True	03/16/13
15039	Prod_90993863		Italian Whites	Italian White 750 small	B5.3	0.0	6.89	7.0	11.09	170.0	VNDR_NGKU0P	06/03/13	True	03/16/13
31281	Prod_64446170		Italian Reds	Italian Red 750 small	B5.3	0.0	11.04	11.0	16.73	170.0	VNDR_NGKU0P	06/03/13	True	03/16/13
20442	Prod_56362140		California Whites	California Whites 375 small	C3.3	0.0	7.07	7.417	11.65	34.0	VNDR_JP20B5	06/03/19	True	03/18/13
83788	Prod_46722691		Beer Domestic	Beer Dom. 24 x 12oz.		0.0	14.99	16.0	29.82	192.0	VNDR_JVC8SU	00/00/00	True	03/18/13
37586	Prod_36317134		Beer Domestic	Beer Dom. 24 x 12oz.		0.0	16.09	17.0	38.3	192.0	VNDR_JVC8SU	00/00/00	True	03/18/13
63053	Prod_57124489	12/750	French Reds	French Red 750 small		24.0	155.29	159.3833	161.22	167.0	VNDR_NKO51N	06/30/22	False	03/18/13
60489	Prod_44519723	6/750	French Reds	French Red 750 small		0.0	29.25	23.3317	25.32	167.0	VNDR_NKO51N	05/08/24	False	03/21/13
93104	Prod_45105016	12/750	French Reds	French Red 750 small		72.0	30.62	31.6267	34.61	167.0	VNDR_NKO51N	06/30/22	False	03/21/13
96346	Prod_33545025	6 pack	French Reds	French Red 750 small		0.0	103.13	105.87	145.38	167.0	VNDR_NKO51N	01/21/25	False	03/21/13
77087	Prod_76507178	6/750	French Reds	French Red 750 small	F2.3	0.0	20.63	21.11	22.83	167.0	VNDR_NKO51N	07/24/25	False	03/21/13
22625	Prod_48003730	12-pks first shipment. Going to 6-pks next	Craft Spirits	Craft Spirits over 10% 750ml	D3.1	0.0	20.12	19.9909	34.91	361.0	VNDR_ADGYXS	07/28/22	True	09/29/19
44397	Prod_63706083		Italian Reds	Italian Red 750 small	_Viticcio Chianti	0.0	13.17	13.996	20.11	362.0	VNDR_63LW2V	04/11/22	True	10/01/19
68671	Prod_38356831		French Whites	French White 750 small	A4.2	0.0	9.86	9.8	20.28	132.0	VNDR_FHSZ8T	03/09/21	True	03/23/13
76897	Prod_34818142		Italian Reds	Italian Red 750 small	AA2.2	0.0	9.99	10.0	13.25	362.0	VNDR_63LW2V	12/12/19	True	10/01/19
36149	Prod_48618937		French Sparkling	French Sparkling 750 small	A3.2	0.0	7.52	8.4652	14.91	132.0	VNDR_FHSZ8T	12/23/20	True	03/23/13
70030	Prod_48217033		French Whites	French White 750 small	A8.3	0.0	30.0	29.9134	49.31	166.0	VNDR_JOB3IY	01/06/16	True	03/25/13
79906	Prod_83676002		Italian Reds	Italian Red 750 small	B2.1	2.0	9.65	9.878	21.73	9.0	VNDR_93N529	07/08/25	False	03/25/13
15283	Prod_19864562		Depletion Allowance		XX	-5785.1	0.0	0.0	0.0		VNDR_W2D030	07/31/25	False	03/27/13
17610	Prod_63317119		Spanish Reds	Spanish Reds 750 small		0.0	25.97	26.4	36.71	124.0	VNDR_86SLSZ	07/18/23	True	03/29/13
53326	Prod_66759498		Oregon & Wash.	Oregon & Wash. 750 small	Wall	0.0	18.44	18.0	27.38	197.0	VNDR_F2Q3AP	04/02/20	True	03/29/13
24924	Prod_77802458		California Red	California Red 750 small	P4.1	0.0	6.43	6.0725	10.32	82.0	VNDR_GB1SKL	08/01/17	True	03/29/13
86162	Prod_45288019		California Red	California Red 750 small	E3.1	0.0	3.5	3.75	6.12	157.0	VNDR_IY1I65	06/01/13	True	04/01/13
10869	Prod_59589676		Italian Reds	Italian Red 750 small	B7.2	0.0	13.11	14.0	20.7	64.0	VNDR_A49R76	04/17/14	True	04/01/13
11014	Prod_84929066		French Reds	French Red 750 small	A5.3	0.0	7.71	7.5	14.74	111.0	VNDR_6YWBI4	12/09/13	True	04/03/13
