ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-09-18,173575.1475383497,150476.8370439454,235094.67262317968,173575.1475383497,173575.1475383497,19651.914201902506,19651.914201902506,19651.914201902506,19651.914201902506,19651.914201902506,19651.914201902506,0.0,0.0,0.0,193227.06174025222
2022-09-25,173503.49013023463,149203.69504583188,235042.53444617472,173503.49013023463,173503.49013023463,20840.30328524112,20840.30328524112,20840.30328524112,20840.30328524112,20840.30328524112,20840.30328524112,0.0,0.0,0.0,194343.79341547575
2022-10-02,173431.83272211952,150832.28354651027,237443.93335278623,173431.83272211952,173431.83272211952,19830.33668092424,19830.33668092424,19830.33668092424,19830.33668092424,19830.33668092424,19830.33668092424,0.0,0.0,0.0,193262.16940304375
2022-10-09,173360.17531400445,142090.2778554604,231396.4304696463,173360.17531400445,173360.17531400445,13585.949441121593,13585.949441121593,13585.949441121593,13585.949441121593,13585.949441121593,13585.949441121593,0.0,0.0,0.0,186946.12475512605
2022-10-16,173288.51790588934,137659.70004171098,224958.68251116743,173288.51790588934,173288.51790588934,6544.526983072041,6544.526983072041,6544.526983072041,6544.526983072041,6544.526983072041,6544.526983072041,0.0,0.0,0.0,179833.0448889614
2022-10-23,173216.86049777424,135121.19004585242,224255.54948437097,173216.86049777424,173216.86049777424,6181.1326597730185,6181.1326597730185,6181.1326597730185,6181.1326597730185,6181.1326597730185,6181.1326597730185,0.0,0.0,0.0,179397.99315754726
2022-10-30,173145.20308603253,146492.60788228523,233225.87671785467,173145.20308603253,173145.20308603253,13782.964274441956,13782.964274441956,13782.964274441956,13782.964274441956,13782.964274441956,13782.964274441956,0.0,0.0,0.0,186928.1673604745
2022-11-06,173073.5456742908,153143.2782790683,241904.79469831937,173073.5456742908,173073.5456742908,22421.426104387956,22421.426104387956,22421.426104387956,22421.426104387956,22421.426104387956,22421.426104387956,0.0,0.0,0.0,195494.97177867877
2022-11-13,173001.88826254904,152960.51978881305,243101.3198755486,173001.88826254904,173001.88826254904,25273.47037375876,25273.47037375876,25273.47037375876,25273.47037375876,25273.47037375876,25273.47037375876,0.0,0.0,0.0,198275.3586363078
2022-11-20,172930.2308508073,153324.45693836806,241778.1385626372,172930.2308508073,172930.2308508073,24099.54066670429,24099.54066670429,24099.54066670429,24099.54066670429,24099.54066670429,24099.54066670429,0.0,0.0,0.0,197029.7715175116
2022-11-27,172858.57343906554,158549.52243842624,244464.2357041659,172858.57343906554,172858.57343906554,26837.204317748117,26837.204317748117,26837.204317748117,26837.204317748117,26837.204317748117,26837.204317748117,0.0,0.0,0.0,199695.77775681365
2022-12-04,172786.91602732384,166078.88466533576,253508.68733619593,172786.91602732384,172786.91602732384,36560.96523625322,36560.96523625322,36560.96523625322,36560.96523625322,36560.96523625322,36560.96523625322,0.0,0.0,0.0,209347.88126357706
2022-12-11,172701.65769795555,176292.16015917883,261143.04241209428,172701.65769795555,172701.65769795555,45252.05842040731,45252.05842040731,45252.05842040731,45252.05842040731,45252.05842040731,45252.05842040731,0.0,0.0,0.0,217953.71611836285
2022-12-18,172616.39936858727,172175.9976954422,258706.95260884787,172616.39936858727,172616.39936858727,40760.79085988942,40760.79085988942,40760.79085988942,40760.79085988942,40760.79085988942,40760.79085988942,0.0,0.0,0.0,213377.19022847668
2022-12-25,172531.14103921896,149170.9414908039,232916.59223837525,172531.14103921896,172531.14103921896,19712.529093653175,19712.529093653175,19712.529093653175,19712.529093653175,19712.529093653175,19712.529093653175,0.0,0.0,0.0,192243.67013287212
2023-01-01,172445.88270985067,118535.48506851529,209647.60232245055,172445.88270985067,172445.88270985067,-8246.908969135207,-8246.908969135207,-8246.908969135207,-8246.908969135207,-8246.908969135207,-8246.908969135207,0.0,0.0,0.0,164198.97374071548
