tier,vendor_code,vendor_name,priority_score,part_code,product_name,description,category_name,sub_category_name,location,total_onhand,cost,weighted_cost,total_onhand_cost,price,margin,weighted_margin,date_last_sold,status,start_date,end_date,date_created,vs_notes,active_po,date_ordered,qty_on_order,case_count,purchase_qty,po_cost,weeks_remaining,weeks_remaining_avg,weeks_remaining_min,average_movement_month,average_movement_two_month,average_movement_three_month,average_movement_six_month,average_movement_one_year,average_movement_month_ly,rolling_average,qty sold,average_orders_week,account_sprawl,most_common_qty_sold,most_qty_sold,max_qty_account,min,sum_qty_sold,key_account,is_whole_foods,wf_last_order_date,whole_foods,total_wine,date_last_po,last_po,last_purchase_qty,dealer,shipper,order,total_weighted_score,normalized_score,decision
3.0,161.0,VNDR_QNTJ60,-999.0,59549.0,Prod_64068238,12.0,California Whites,California Whites 375 small,C7.1,92.0,6.16,6.0,552.0,10.28,0.4,0.42,2025-07-28,+,2025-08-27 12:52:04.381650,2025-08-27 12:52:04.382542,2019-03-19,,47845,7/30/25,168.0,14.0,60.0,1034.88,10.22,-999.0,10.22,0.0,7.25,7.42,3.71,12.23,35.25,4.89,132.0,0.75,16.0,12.0,12.0,Acc_46565f,1.0,132.0,7.0,0.0,0,WF,0,07/30/25,47845.0,168.0,Tower Road,Advantage,,0.0,8.26,Keep
4.0,9.0,VNDR_93N529,19.0,59570.0,Prod_55007532,12.0,Italian Reds,Italian Red 750 small,B7.1,8.0,6.42,6.7474,53.98,14.79,0.5700000000000001,0.54,2025-08-01,,2025-08-27 12:52:04.381650,2025-08-27 12:52:04.382542,2021-05-17,,47587,6/9/25,48.0,4.0,48.0,308.16,2.67,2.67,2.67,3.0,3.0,2.0,1.0,2.88,4.5,2.67,34.0,0.25,3.0,12.0,12.0,Acc_3d9e8a,10.0,34.0,1.0,0.0,0,0,0,07/09/25,47769.0,24.0,Western,Cobalt,,0.0,7.18,Keep
2.0,288.0,VNDR_8ZAN02,-999.0,59630.0,Prod_76165409,12.0,California Red,California Red 750 small,P6.1,284.0,6.99,7.0833,2011.66,11.87,0.41,0.4,2025-08-04,+,2025-08-27 12:52:04.381650,2025-08-27 12:52:04.382542,2017-11-16,,0,0,0.0,0.0,0.0,0.0,38.17,-999.0,12.72,0.0,12.0,13.0,6.5,25.9,0.75,8.33,312.0,0.62,20.0,12.0,36.0,Acc_77ebfe,12.0,312.0,0.0,0.0,0,0,0,06/02/25,47424.0,408.0,Biagi,Groskopf,,0.0,9.61,Keep
6.0,167.0,VNDR_NKO51N,0.0,59666.0,Prod_63864731,12.0,French Reds,French Red 750 small,0,0.0,28.2,27.66,0.0,40.5,0.3,0.3199999999999999,2024-10-24,,2025-08-27 12:52:04.381650,2025-08-27 12:52:04.382542,2008-07-20,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,,0.0,,
5.0,343.0,VNDR_V2MZAM,-999.0,59737.0,Prod_61158615,12.0,French Sparkling,French Sparkling 375 small,A4.2,12.0,14.91,14.5771,174.93,19.05,0.2199999999999999,0.2299999999999999,2025-08-01,+,2025-08-27 12:52:04.381650,2025-08-27 12:52:04.382542,2018-09-18,,0,0,0.0,0.0,0.0,0.0,16.67,-999.0,8.33,0.0,0.75,2.0,1.0,2.73,12.0,0.92,25.0,0.12,4.0,6.0,12.0,Acc_38c19c,1.0,25.0,1.0,0.0,0,0,0,07/02/25,47748.0,36.0,Grape Ex,Groskopf,,0.0,6.18,Keep
1.0,167.0,VNDR_NKO51N,145.0,59812.0,Prod_57941339,0.0,Italian Whites,Italian White 750 small,Costco,2340.0,3.86,3.7751,8833.73,4.25,0.0899999999999999,0.1099999999999999,2025-08-04,-,2025-08-27 12:52:04.381650,2025-08-27 12:52:04.382542,2010-03-24,,44665,10/11/23,1632.0,0.0,0.0,6299.52,1.86,6.5,1.86,360.0,1260.0,1320.0,660.0,1772.31,0.75,980.0,25920.0,1.75,36.0,720.0,720.0,Acc_05d309,720.0,25920.0,0.0,0.0,0,0,0,07/25/25,47836.0,1440.0,Alba,Shipping by Supplier,,0.0,9.96,Keep
5.0,306.0,VNDR_41N4OZ,-999.0,59990.0,Prod_50710633,12.0,Austria,Austria 750 small,D5.2,34.0,9.25,9.2971,316.1,14.65,0.37,0.37,2025-07-23,+,2025-08-27 12:52:04.381650,2025-08-27 12:52:04.382542,2023-05-04,,0,0,0.0,0.0,0.0,0.0,94.44,-999.0,23.61,0.0,0.38,1.5,0.75,0.81,48.0,0.63,18.0,0.12,3.0,3.0,12.0,Acc_bfadf0,3.0,18.0,1.0,0.0,0,0,0,0,0.0,0.0,0,0,,0.0,2.55,Reduce
1.0,167.0,VNDR_NKO51N,-999.0,59996.0,Prod_51789017,12.0,French Reds,French Red 750 small,0,504.0,11.37,11.4125,5751.9,12.5,0.0899999999999999,0.0899999999999999,2025-07-24,+,2025-08-27 12:52:04.381650,2025-08-27 12:52:04.382542,2014-06-05,,0,0,0.0,0.0,528.0,0.0,7.89,-999.0,7.89,0.0,63.0,42.0,21.0,9.69,0.0,35.0,504.0,0.38,3.0,168.0,168.0,Acc_05d309,168.0,504.0,0.0,0.0,0,0,0,04/17/25,47260.0,1008.0,FDL,Shipping by Supplier,,0.0,9.16,Keep
5.0,179.0,VNDR_9IGGEP,-999.0,60100.0,Prod_59500355,12.0,Oregon & Wash.,Oregon & Wash. 750 small,E2.1,94.0,9.12,9.0,846.0,15.77,0.42,0.43,2025-07-29,+,2025-08-27 12:52:04.381650,2025-08-27 12:52:04.382542,2009-10-29,,0,0,0.0,0.0,0.0,0.0,195.83,-999.0,195.83,0.0,0.5,0.33,0.17,0.29,2.25,0.28,4.0,0.12,1.0,4.0,4.0,Acc_1da4d7,4.0,4.0,1.0,0.0,0,0,0,0,0.0,0.0,0,0,,0.0,1.8,Reduce
4.0,124.0,VNDR_86SLSZ,100.0,60108.0,Prod_81130271,6.0,Spanish Reds,Spanish Reds 750 small,D6.3,0.0,282.88,292.75,0.0,441.06,0.36,0.3399999999999999,2025-07-16,,2025-08-27 12:52:04.381650,2025-08-27 12:52:04.382542,2008-01-25,,0,0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.5,0.0,1.67,24.0,0.25,2.0,12.0,12.0,Acc_f2c9d9,12.0,24.0,2.0,0.0,0,0,0,07/01/25,47714.0,12.0,ALBA,Distributor Transport,,0.0,9.08,Keep
